"ID_geno";"ID_modacourt";"Annee_plantation";"NoteGlobaleVITI_CR_2021";"NoteGlobaleVITI_CR_2022";"NoteGlobaleVITI_CR_2023";"NoteGlobaleVITI_CR_2024";"NoteGlobaleVITI_CR_2025";"NoteGlobaleVITI_2021_QT";"NoteGlobaleVITI_2022_QT";"NoteGlobaleVITI_2023_QT";"NoteGlobaleVITI_2024_QT";"NoteGlobaleVITI_2025_QT"
"RR001";"ResRhod";2019;-1,28436593655522;-0,562431176970862;-1,24772274072167;NA;NA;"1";"2";"1";NA;NA
"RR002";"ResRhod";2019;2,0415403454335;0,96568371894997;-0,0686543755729874;0,342282858281284;1,35737091388055;"5";"5";"3";"3";"5"
"RR003";"ResRhod";2019;2,0415403454335;1,81463643890599;0,77353731381893;1,39608728395034;0,661979220445062;"5";"5";"4";"5";"4"
"RR004";"ResRhod";2019;-0,286594051958602;-1,24159335293568;0,26822230018378;-0,162965838957303;NA;"3";"1";"4";"2";NA
"RR005";"ResRhod";2019;0,378587204439141;0,456312086976359;0,0997839623053961;0,342282858281284;NA;"4";"4";"3";"3";NA
"RR006";"ResRhod";2019;1,37635908903576;1,13547426294117;1,27885232745408;1,55487973165389;1,18352299091284;"5";"5";"5";"5";"5"
"RR007";"ResRhod";2019;-1,28436593655522;-1,58117444091808;-1,07928440284329;NA;NA;"1";"1";"1";NA;NA
"RR008";"ResRhod";2019;1,54265440313519;-0,0530595449972511;-0,405531051329754;0,616560722496517;NA;"5";"3";"2";"4";NA
"RR009";"ResRhod";2019;1,04376846083688;0,286521542985156;0,77353731381893;-0,379500994916698;0,140435451541918;"5";"4";"4";"2";"3"
"RR010";"ResRhod";2019;-0,951775308356346;-0,562431176970862;-0,573969389208138;-1,33225568113803;NA;"2";"2";"2";"1";NA
"RR011";"ResRhod";2019;-1,61695656475409;-1,24159335293568;-0,0686543755729874;NA;NA;"1";"1";"3";NA;NA
"RR012";"ResRhod";2019;0,0459965762402694;-0,0530595449972511;0,436660638062163;-0,336193963724819;NA;"3";"3";"4";"2";NA
"RR013";"ResRhod";2019;0,378587204439141;0,456312086976359;0,0997839623053961;0,674303430752356;0,488131297477347;"4";"4";"3";"4";"4"
"RR014";"ResRhod";2019;-0,286594051958602;-2,2603366168829;-0,237092713451371;NA;NA;"3";"1";"2";NA;NA
"RR015";"ResRhod";2019;-0,286594051958602;-0,562431176970862;0,436660638062163;1,00632400322343;NA;"3";"2";"4";"5";NA
"RR016";"ResRhod";2019;-0,619184680157474;-0,0530595449972511;-0,237092713451371;0,226797441769607;-0,55495624032894;"2";"3";"2";"3";"2"
"RR017";"ResRhod";2019;0,378587204439141;-0,902012264953269;-0,405531051329754;1,10737374267115;NA;"4";"2";"2";"5";NA
"RR018";"ResRhod";2019;-0,619184680157474;0,96568371894997;-0,405531051329754;0,558818014240679;NA;"2";"5";"2";"4";NA
"RR019";"ResRhod";2019;-1,61695656475409;-1,24159335293568;0,77353731381893;-1,72201896186495;NA;"1";"1";"4";"1";NA
"RR020";"ResRhod";2019;-0,452889366058038;0,116730998993952;0,436660638062163;0,385589889473163;0,661979220445062;"2";"3";"4";"4";"4"
"RR021";"ResRhod";2019;0,378587204439141;0,116730998993952;0,0997839623053961;0,558818014240679;NA;"4";"3";"3";"4";NA
"RR022";"ResRhod";2019;0,711177832638013;0,795893174958767;-0,0686543755729874;-0,379500994916698;NA;"4";"4";"3";"2";NA
"RR023";"ResRhod";2019;0,544882518538577;1,30526480693238;1,27885232745408;0,833095878455912;0,140435451541918;"4";"5";"5";"5";"3"
"RR024";"ResRhod";2019;1,21006377493632;1,47505535092358;2,121044016846;1,3383445756945;NA;"5";"5";"5";"5";NA
"RR025";"ResRhod";2019;NA;0,96568371894997;-0,0686543755729874;-2,16952495084769;NA;NA;"5";"3";"1";NA
"RR026";"ResRhod";2019;-0,286594051958602;0,795893174958767;1,27885232745408;0,169054733513768;NA;"3";"4";"5";"3";NA
"RR027";"ResRhod";2019;0,212291890339705;1,64484589491478;1,61572900321085;-0,00417339125374743;NA;"4";"5";"5";"3";NA
"RR028";"ResRhod";2019;-0,120298737859166;1,13547426294117;1,27885232745408;1,55487973165389;NA;"3";"5";"5";"5";NA
"RR029";"ResRhod";2019;-0,951775308356346;-0,0530595449972511;0,26822230018378;-1,93855411782434;NA;"2";"3";"4";"1";NA
"RR030";"ResRhod";2019;-0,120298737859166;1,47505535092358;0,605098975940547;-0,884749692155286;-0,0334124714257966;"3";"5";"4";"1";"3"
"RR031";"ResRhod";2019;-0,286594051958602;-0,902012264953269;-0,0686543755729874;-0,72595724445173;NA;"3";"2";"3";"2";NA
"RR032";"ResRhod";2019;-1,61695656475409;-1,07180280894447;-0,405531051329754;NA;NA;"1";"1";"2";NA;NA
"RR033";"ResRhod";2019;-1,61695656475409;-1,58117444091808;-0,237092713451371;NA;NA;"1";"1";"2";NA;NA
"RR034";"ResRhod";2019;-0,286594051958602;-0,222850088988455;1,27885232745408;0,443332597729002;NA;"3";"3";"5";"4";NA
"RR035";"ResRhod";2019;-0,452889366058038;-0,902012264953269;-0,405531051329754;-1,10128484811468;NA;"2";"2";"2";"1";NA
"RR036";"ResRhod";2019;-0,951775308356346;-1,24159335293568;-0,405531051329754;NA;NA;"2";"1";"2";NA;NA
"RR037";"ResRhod";2019;1,54265440313519;-0,392640632979658;0,605098975940547;0,385589889473163;0,835827144977407;"5";"3";"4";"4";"5"
"RR038";"ResRhod";2019;0,212291890339705;0,96568371894997;1,61572900321085;-0,884749692155286;-0,0334124714257966;"4";"5";"5";"1";"3"
"RR039";"ResRhod";2019;-0,619184680157474;1,13547426294117;-0,742407727086521;-0,220708547213142;0,488131297477347;"2";"5";"2";"2";"4"
"RR040";"ResRhod";2019;0,378587204439141;-0,392640632979658;1,1104139895757;-0,942492400411124;NA;"4";"3";"5";"1";NA
"RR041";"ResRhod";2019;1,37635908903576;-0,732221720962065;0,26822230018378;0,717610461944235;NA;"5";"2";"4";"4";NA
"RR042";"ResRhod";2019;-0,951775308356346;1,47505535092358;1,1104139895757;-0,00417339125374743;1,00967506794512;"2";"5";"5";"3";"5"
"RR043";"ResRhod";2019;-0,286594051958602;-0,562431176970862;-1,07928440284329;NA;NA;"3";"2";"1";NA;NA
"RR044";"ResRhod";2019;-0,951775308356346;-0,392640632979658;-1,41616107860006;NA;NA;"2";"3";"1";NA;NA
"RR045";"ResRhod";2019;1,54265440313519;0,116730998993952;0,605098975940547;0,833095878455912;0,944482096245492;"5";"3";"4";"5";"5"
"RR046";"ResRhod";2019;-0,286594051958602;-0,392640632979658;-0,237092713451371;0,342282858281284;NA;"3";"3";"2";"3";NA
"RR047";"ResRhod";2019;0,378587204439141;-0,902012264953269;-1,07928440284329;-2,47267416919085;NA;"4";"2";"1";"1";NA
"RR048";"ResRhod";2019;1,37635908903576;0,456312086976359;0,436660638062163;-1,49104812884159;NA;"5";"4";"4";"1";NA
"Floreal";"Floreal";2019;NA;NA;0,548952863314419;0,510699090694147;1,20525398095784;NA;NA;"4";"4";"5"
